playername,playerid,team,1920salary,2021salary,2122salary,2223salary,2324salary,2425salary,signedusing,guaranteed
Shabazz Napier,napiesh01,WAS,"$1,882,867 ",,,,,,Cap Space,"$1,882,867 "
Glenn Robinson,robingl02,PHI,"$1,882,867 ","$2,071,978 ",,,,,Minimum Salary,"$1,882,867 "
James Ennis,ennisja01,ORL,"$1,882,867 ","$2,071,978 ",,,,,Minimum Salary,"$1,882,867 "
Tim Frazier,fraziti01,DET,"$1,882,867 ",,,,,,,"$1,882,867 "
Larry Sanders,sandela01,MIL,"$1,865,547 ","$1,865,547 ","$1,865,547 ",,,,,"$5,596,641 "
Bruno Caboclo,cabocbr01,HOU,"$1,845,301 ",,,,,,Minimum Salary,"$1,845,301 "
Markieff Morris,morrima02,LAL,"$1,750,000 ",,,,,,DPE,"$1,750,000 "
Mario Hezonja,hezonma01,POR,"$1,737,145 ","$1,882,867 ",,,,,Minimum Salary,"$3,620,012 "
Emmanuel Mudiay,mudiaem01,UTA,"$1,737,145 ",,,,,,Minimum Salary,"$1,737,145 "
Raul Neto,netora01,PHI,"$1,737,145 ",,,,,,Minimum Salary,"$1,737,145 "
JaKarr Sampson,sampsja02,IND,"$1,737,145 ",,,,,,Minimum Salary,"$1,737,145 "
Pat Connaughton,connapa01,MIL,"$1,723,050 ",,,,,,MLE,"$1,723,050 "
Jahlil Okafor,okafoja01,NOP,"$1,702,486 ",,,,,,Minimum Salary,"$1,702,486 "
Rodions Kurucs,kurucro01,BRK,"$1,699,236 ","$1,780,152 ","$1,861,068 ",,,,Cap space,"$3,479,388 "
Jonah Bolden,boldejo01,PHI,"$1,698,450 ",,,,,,,"$1,698,450 "
Georges Niang,niangge01,UTA,"$1,678,854 ","$1,783,557 ",,,,,Non-Bird Exception,"$1,678,854 "
Cheick Diallo,diallch01,PHO,"$1,678,854 ","$1,824,003 ",,,,,Minimum Salary,"$1,678,854 "
Dragan Bender,bendedr01,MIL,"$1,678,854 ",,,,,,,"$1,678,854 "
David Nwaba,nwabada01,BRK,"$1,678,854 ",,,,,,,"$1,678,854 "
Treveon Graham,grahatr01,ATL,"$1,678,854 ",,,,,,Minimum Salary,"$1,678,854 "
Willy Hernangómez,hernawi01,CHO,"$1,676,735 ",,,,,,Cap Space,"$1,676,735 "
Derrick Jones,jonesde02,MIA,"$1,645,357 ",,,,,,Minimum Salary,"$1,645,357 "
Jordan McRae,mcraejo01,DET,"$1,645,357 ",,,,,,Minimum Salary,"$1,645,357 "
Christian Wood,woodch01,DET,"$1,645,357 ",,,,,,Minimum Salary,"$1,645,357 "
Furkan Korkmaz,korkmfu01,PHI,"$1,620,564 ","$1,762,796 ",,,,,Minimum Salary,"$1,620,564 "
Jordan Bell,belljo01,MEM,"$1,620,564 ",,,,,,,"$1,620,564 "
Justin Patton,pattoju01,DAL,"$1,620,564 ",,,,,,,"$1,620,564 "
Royce O'Neale,onealro01,UTA,"$1,618,520 ","$8,035,714 ","$8,678,571 ","$9,321,429 ","$9,964,286 ",,Cap space,"$37,618,520 "
Dillon Brooks,brookdi01,MEM,"$1,618,520 ","$11,400,000 ","$12,200,000 ","$11,400,000 ",,,MLE,"$36,618,520 "
Wesley Iwundu,iwundwe01,ORL,"$1,618,520 ",,,,,,Cap Space,"$1,618,520 "
Abdel Nader,naderab01,OKC,"$1,618,520 ","$1,752,950 ",,,,,Cap Space,"$1,618,520 "
Damyean Dotson,dotsoda01,NYK,"$1,618,520 ",,,,,,Minimum Salary,"$1,618,520 "
Frank Jackson,jacksfr01,NOP,"$1,618,520 ",,,,,,MLE,"$1,618,520 "
Sterling Brown,brownst02,MIL,"$1,618,520 ",,,,,,MLE,"$1,618,520 "
Dwayne Bacon,bacondw01,CHO,"$1,618,520 ",,,,,,MLE,"$1,618,520 "
Semi Ojeleye,ojelese01,BOS,"$1,618,520 ","$1,752,950 ",,,,,Cap space,"$1,618,520 "
Chris Boucher,bouchch01,TOR,"$1,588,231 ",,,,,,Minimum Salary,"$1,588,231 "
Malcolm Miller,millema01,TOR,"$1,588,231 ",,,,,,Minimum Salary,"$1,588,231 "
Monte Morris,morrimo01,DEN,"$1,588,231 ","$1,663,861 ",,,,,Minimum Salary,"$1,588,231 "
Mitchell Robinson,robinmi01,NYK,"$1,559,712 ","$1,663,861 ","$1,802,057 ",,,,MLE,"$1,559,712 "
Vlatko Čančar,cancavl01,DEN,"$1,517,981 ","$898,310 ","$1,782,621 ",,,,MLE,"$2,416,291 "
