playername,playerid,team,salary1920,salary2021,salary2122,salary2223,salary2324,salary2425,signedusing,guaranteed
Rondae Hollis-Jefferson,holliro01,TOR,2500000,,,,,,MLE,2500000
Brandon Clarke,clarkbr01,MEM,2478840,2602920,2726880,4343920,,,1st Round Pick,5081760
Terrance Ferguson,fergute01,OKC,2475840,3944013,,,,,1st Round Pick,6419853
Grayson Allen,allengr01,MEM,2429400,2545320,4054695,,,,1st Round Pick,4974720
Anthony Tolliver,tollian01,SAC,2419852,,,,,,,2419852
Grant Williams,willigr01,BOS,2379840,2498760,2617800,4306281,,,1st Round Pick,4878600
Jarrett Allen,allenja01,BRK,2376840,3909902,,,,,1st Round Pick,6286742
Pascal Siakam,siakapa01,TOR,2351839,29000000,31320000,33640000,35960000,,1st Round pick,132271839
Skal Labissière,labissk01,ATL,2338847,,,,,,1st Round pick,2338847
Chandler Hutchison,hutchch01,CHI,2332320,2443440,4019459,,,,1st Round Pick,4775760
Patrick Patterson,pattepa01,LAC,2331593,,,,,,Minimum Salary,2331593
Dejounte Murray,murrade01,SAS,2321735,14285714,15428571,16571429,17714286,,1st Round pick,66321735
Alec Burks,burksal01,PHI,2320044,,,,,,Minimum Salary,2320044
Isaiah Thomas,thomais02,LAC,2320044,,,,,,,2320044
Damian Jones,jonesda03,ATL,2305057,,,,,,1st Round pick,2305057
Darius Bazley,bazleda01,OKC,2284800,2399160,2513040,4264629,,,1st Round Pick,4683960
OG Anunoby,anunoog01,TOR,2281800,3872215,,,,,1st Round Pick,6154015
Ante Žižić,zizican01,CLE,2281800,,,,,,1st Round Pick,2281800
Monta Ellis,ellismo01,IND,2245400,2245400,2245400,,,,,6736200
Markieff Morris,morrima02,DET,2241808,,,,,,,2241808
Aaron Holiday,holidaa01,IND,2239200,2345640,3980551,,,,1st Round Pick,4584840
Luke Kornet,kornelu01,CHI,2195122,2304878,,,,,Room Exception,4500000
